"table_schema","table_name","constraint_type","constraint_name","column_name","foreign_table_schema","foreign_table_name","foreign_column_name"
"public","alembic_version","PRIMARY KEY","alembic_version_pkc","version_num","public","alembic_version","version_num"
"public","api_tokens","FOREIGN KEY","api_tokens_user_id_fkey","user_id","public","users","id"
"public","api_tokens","PRIMARY KEY","api_tokens_pkey","token","public","api_tokens","token"
"public","cache_entries","PRIMARY KEY","cache_entries_pkey","id","public","cache_entries","id"
"public","data_sources","FOREIGN KEY","data_sources_organization_id_fkey","organization_id","public","organizations","id"
"public","data_sources","PRIMARY KEY","data_sources_pkey","id","public","data_sources","id"
"public","document_versions","PRIMARY KEY","document_versions_pkey","type","public","document_versions","version"
"public","document_versions","PRIMARY KEY","document_versions_pkey","version","public","document_versions","version"
"public","document_versions","PRIMARY KEY","document_versions_pkey","version","public","document_versions","type"
"public","document_versions","PRIMARY KEY","document_versions_pkey","type","public","document_versions","type"
"public","end_to_end_test_orders","FOREIGN KEY","end_to_end_test_orders_order_id_fkey","order_id","public","orders","id"
"public","end_to_end_test_orders","FOREIGN KEY","end_to_end_test_orders_end_to_end_test_run_id_fkey","end_to_end_test_run_id","public","end_to_end_test_runs","id"
"public","end_to_end_test_orders","PRIMARY KEY","end_to_end_test_orders_pkey","order_id","public","end_to_end_test_orders","order_id"
"public","end_to_end_test_runs","FOREIGN KEY","end_to_end_test_runs_owner_id_fkey","owner_id","public","users","id"
"public","end_to_end_test_runs","PRIMARY KEY","end_to_end_test_runs_pkey","id","public","end_to_end_test_runs","id"
"public","event_logs","PRIMARY KEY","event_logs_pkey","id","public","event_logs","id"
"public","export_profiles","FOREIGN KEY","export_profiles_user_id_fkey","user_id","public","users","id"
"public","export_profiles","PRIMARY KEY","export_profiles_pkey","id","public","export_profiles","id"
"public","feedback","FOREIGN KEY","refunds_order_id_fkey","order_id","public","orders","id"
"public","feedback","PRIMARY KEY","refunds_pkey","id","public","feedback","id"
"public","input_files","FOREIGN KEY","input_files_order_id_fkey","order_id","public","orders","id"
"public","input_files","FOREIGN KEY","input_files_user_id_fkey","user_id","public","users","id"
"public","input_files","PRIMARY KEY","input_files_pkey","id","public","input_files","id"
"public","jobs","FOREIGN KEY","jobs_user_id_fkey1","user_id","public","users","id"
"public","jobs","FOREIGN KEY","jobs_order_id_fkey","order_id","public","orders","id"
"public","jobs","PRIMARY KEY","jobs_pkey1","id","public","jobs","id"
"public","order_comments","FOREIGN KEY","order_comments_order_id_fkey","order_id","public","orders","id"
"public","order_comments","FOREIGN KEY","order_comments_user_id_fkey","user_id","public","users","id"
